place_id,name,place_kind,subtype,accessibility_rating,condition_rating,lat,lon,source_file
furniture-1749211,Seat - Stainless Steel Seat - Fixed,street_furniture,Seat,,4.44,-37.821452933633466,144.93547114264612,street_furniture_clean.csv
furniture-1751325,Seat - Stainless Steel Straight Seat,street_furniture,Seat,,4.4,-37.80905629212071,144.96606276600747,street_furniture_clean.csv
furniture-1752751,Seat - Stainless Steel Straight Seat,street_furniture,Seat,,3.45,-37.81340251341541,144.96633561320826,street_furniture_clean.csv
furniture-1753311,Seat - Unclassified - New Quay Central Park,street_furniture,Seat,,4.0,-37.81480241627879,144.9386880654237,street_furniture_clean.csv
furniture-1503113,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,street_furniture,Drinking Fountain,,3.44,-37.81378184056998,144.94225864282328,street_furniture_clean.csv
furniture-1503836,Seat - Flat Bench Seat - L Shaped,street_furniture,Seat,,3.17,-37.80072475695731,144.95854412359768,street_furniture_clean.csv
furniture-1507113,Seat - Metal Bench Around Tree Base,street_furniture,Seat,,3.16,-37.81008069060413,144.96393701854998,street_furniture_clean.csv
furniture-1490923,Seat - Urban Design Park Style - Green Powder Coat - Kings Domain,street_furniture,Seat,,4.0,-37.82542134195118,144.97605422672942,street_furniture_clean.csv
furniture-1511456,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,street_furniture,Drinking Fountain,,2.81,-37.807299202453336,144.9638063589646,street_furniture_clean.csv
furniture-1511713,Seat - Straight Seat - Wooden Battens - Type 2 - JJ Holland Park,street_furniture,Seat,,4.0,-37.79775337348578,144.92369811860402,street_furniture_clean.csv
furniture-1514399,Seat - Stainless Steel Seat - Fixed,street_furniture,Seat,,3.29,-37.81311551468667,144.940640161552,street_furniture_clean.csv
furniture-1514863,Seat - Stainless Steel Straight Seat,street_furniture,Seat,,4.44,-37.81191061328918,144.96477071336358,street_furniture_clean.csv
furniture-1514865,Seat - Metal Bench Around Tree Base,street_furniture,Seat,,4.16,-37.81177473895045,144.96471469579066,street_furniture_clean.csv
