GIS_ID,DESCRIPTION,ASSET_CLASS,ASSET_TYPE,MODEL_NO,MODEL_DESCR,DIVISION,COMPANY,LOCATION_DESC,CONDITION_RATING,EVALUATION_DATE,EASTING,NORTHING,UploadDate,CoordinateLocation,lat,lon,CONDITION_CATEGORY
1551577,Barbeque - Urban Design Double Hotplate - Warun Biik Park,Outdoor Furniture,Barbeque,201201-000,Barbeque - Unknown model,Parks and City Greening,City of Melbourne,"Warun Biik Park approximately 51m SW of 30 Derby Street, Kensington, 3031",4.0,2019-09-13,317452.61,5814769.34,2021-08-14,"-37.79622323577933, 144.9266473544793",-37.79622323577933,144.9266473544793,Good
1552506,Barbeque - Unknown Barbeque Type,Outdoor Furniture,Barbeque,201201-000,Barbeque - Unknown model,Parks and City Greening,City of Melbourne,"Water Plaza approximately 4m North of Magic Charters Melbourne, Berth Water Plaza, 40 Victoria Harbour Promenade, Docklands, 3008",3.0,2019-09-23,318926.34,5812285.38,2021-08-14,"-37.81889052008494, 144.94275498440427",-37.81889052008494,144.94275498440427,Average
1555893,Seat - Stainless Steel Straight Seat,Outdoor Furniture,Seat,201101-027,Seat - Stainless Steel Straight Seat,Infrastructure and Assets,City of Melbourne,"Elizabeth Street between Lonsdale Street and Little Lonsdale Street approximately 5m East of 277 Elizabeth Street, Melbourne, 3000",4.44,2021-04-30,320607.37,5813077.68,2021-08-14,"-37.8120858647295, 144.96203891177652",-37.8120858647295,144.96203891177652,Good
1562947,Seat - Stainless Steel Bench - Docklands,Outdoor Furniture,Seat,201101-025,Seat - Stainless Steel Bench - Docklands,Infrastructure and Assets,City of Melbourne,"Quay Park approximately 9m South of 18 Leven Avenue, Docklands, 3008",2.77,2021-04-30,318444.47,5812635.66,2021-08-14,"-37.81563970719016, 144.93737136576743",-37.81563970719016,144.93737136576743,Average
1551442,Seat - Stainless Steel Straight Seat,Outdoor Furniture,Seat,201101-027,Seat - Stainless Steel Straight Seat,Infrastructure and Assets,City of Melbourne,"Collins Street between Russell Street and Swanston Street approximately 27m NW of Dior, 209 Collins Street, Melbourne, 3000",4.45,2021-04-30,321045.12,5812732.55,2021-08-14,"-37.815280537733955, 144.9669237359272",-37.81528053773396,144.9669237359272,Good
1551584,Seat - Urban Design Park Style - Green Powder Coat -Warun Biik Park,Outdoor Furniture,Seat,201101-038,,Parks and City Greening,City of Melbourne,"Warun Biik Park approximately 35m SW of 30 Derby Street, Kensington, 3031",3.0,2020-10-19,317462.49,5814782.2,2021-08-14,"-37.79610937635111, 144.92676274146157",-37.79610937635111,144.92676274146157,Average
1566859,Seat - Straight Seat - Wooden Battens - Type 2 - Parkville Gardens,Outdoor Furniture,Seat,201101-038,Seat - Straight Seat - Wooden Battens - Type 2,Parks and City Greening,City of Melbourne,"Parkville Gardens approximately 22m West of 14 Cade Way, Parkville, 3052",4.0,2019-09-19,318644.13,5816774.31,2021-08-14,"-37.7784010357894, 144.94067387439367",-37.7784010357894,144.94067387439367,Good
1566864,Seat - Straight Seat - Wooden Battens - Type 2 - Park Street Reserve,Outdoor Furniture,Seat,201101-038,Seat - Straight Seat - Wooden Battens - Type 2,Parks and City Greening,City of Melbourne,"Park Street Reserve approximately 24m North of 64 Strickland Road, Parkville, 3052",4.0,2019-09-19,318618.5,5817076.12,2021-08-14,"-37.7756774253045, 144.94045846708957",-37.7756774253045,144.94045846708957,Good
1566839,Picnic Setting - Unspecified,Outdoor Furniture,Picnic Setting,201401-000,,Parks and City Greening,City of Melbourne,Warun Biik Park,4.0,2019-09-13,317319.92,5814816.38,2021-08-14,"-37.795773005837276, 144.92515303937552",-37.79577300583728,144.92515303937552,Good
1568596,Seat - Stainless Steel Seat - Swivel,Outdoor Furniture,Seat,201101-032,,Parks and City Greening,City of Melbourne,"Victoria Green approximately 16m South of 6 Buckley Walk, Docklands, 3008",4.0,2019-09-23,319140.34,5812143.47,2021-08-14,"-37.820211186637295, 144.9451494297501",-37.820211186637295,144.9451494297501,Good
1568597,Seat - Stainless Steel Seat - Swivel,Outdoor Furniture,Seat,201101-032,,Parks and City Greening,City of Melbourne,"Victoria Green approximately 16m South of 6 Buckley Walk, Docklands, 3008",4.0,2019-09-23,319141.63,5812142.64,2021-08-14,"-37.82021891838719, 144.9451638701736",-37.82021891838719,144.9451638701736,Good
1569681,Seat - Straight Seat - Wooden Battens - Type 2 - Royal Park,Outdoor Furniture,Seat,201101-038,Seat - Straight Seat - Wooden Battens - Type 2,Parks and City Greening,City of Melbourne,"Royal Park approximately 43m North of Royal Park Railway Station, Poplar Road, Parkville, 3052",3.0,2019-05-09,319611.38,5816526.9,2021-08-14,"-37.78082097828578, 144.95158917195278",-37.78082097828578,144.95158917195278,Average
1569718,Seat - Metal Seat,Outdoor Furniture,Seat,201101-016,,Parks and City Greening,City of Melbourne,Royal Park,3.0,2019-09-09,319553.8,5816411.92,2021-08-14,"-37.78184528910504, 144.95090710073157",-37.78184528910504,144.95090710073157,Average
1569729,Seat - Stainless Frame with Narrow Wooden Slats (Back to Back) - Argyle Square,Outdoor Furniture,Seat,201101-065,Seat - Stainless Frame with Narrow Wooden Slats (Back to Back),Parks and City Greening,City of Melbourne,"Argyle Square approximately 56m North of Clinica Lase, Ground, 23-25 Argyle Place South, Carlton, 3053",3.0,2019-09-25,320908.31,5814082.2,2021-08-14,"-37.80309673813445, 144.9657040477776",-37.80309673813445,144.9657040477776,Average
1572351,Seat - Stainless Steel Straight Seat,Outdoor Furniture,Seat,201101-027,Seat - Stainless Steel Straight Seat,Infrastructure and Assets,City of Melbourne,"Elizabeth Street between Little Bourke Street and Lonsdale Street approximately 5m NE of Michaels Camera Video & Digital, 263-269 Elizabeth Street, Melbourne, 3000",3.44,2021-04-30,320624.31,5813033.84,2021-08-14,"-37.81248408100291, 144.9622203862264",-37.81248408100291,144.9622203862264,Average
1568594,Seat - Stainless Steel Seat - Swivel,Outdoor Furniture,Seat,201101-032,,Parks and City Greening,City of Melbourne,"Victoria Green approximately 16m South of 8 Buckley Walk, Docklands, 3008",4.0,2019-09-23,319132.59,5812146.75,2021-08-14,"-37.820180106640585, 144.94506224902153",-37.820180106640585,144.94506224902153,Good
1578234,Seat - Stainless Steel Straight Seat,Outdoor Furniture,Seat,201101-027,Seat - Stainless Steel Straight Seat,Infrastructure and Assets,City of Melbourne,"River Esplanade between Mills Place and Riggers Place approximately 50m North of 34 South Wharf Drive, Docklands, 3008",3.44,2021-04-30,318634.61,5811896.32,2021-08-14,"-37.82233698872174, 144.93934503340333",-37.82233698872174,144.93934503340333,Average
1578237,Seat - Stainless Steel Seat - Swivel,Outdoor Furniture,Seat,201101-032,Seat - Stainless Steel Seat - Swivel,Infrastructure and Assets,City of Melbourne,"River Esplanade between Mills Place and Riggers Place approximately 37m North of 40 South Wharf Drive, Docklands, 3008",3.44,2021-04-30,318606.47,5811890.17,2021-08-14,"-37.822386790871676, 144.93902395864325",-37.82238679087168,144.93902395864325,Average
1578241,Seat - Stainless Steel Straight Seat,Outdoor Furniture,Seat,201101-027,Seat - Stainless Steel Straight Seat,Infrastructure and Assets,City of Melbourne,"River Esplanade between Mills Place and Riggers Place approximately 49m North of 48 South Wharf Drive, Docklands, 3008",3.44,2021-04-30,318553.87,5811916.61,2021-08-14,"-37.822138180470716, 144.93843330515512",-37.82213818047072,144.93843330515512,Average
1589212,Seat - Straight Seat - Wooden Battens - Type 2 - Royal Park,Outdoor Furniture,Seat,201101-038,Seat - Straight Seat - Wooden Battens - Type 2,Parks and City Greening,City of Melbourne,"Royal Park approximately 97m NW of Parkville House Inc, 32 Gatehouse Street, Parkville, 3052",4.0,2019-11-09,319641.39,5814930.88,2021-08-14,"-37.795202973939276, 144.9515327781671",-37.79520297393928,144.9515327781671,Good
1589226,Drinking Fountain - Leaf Type - With Bottle Refill Tap - Royal Park,Outdoor Furniture,Drinking Fountain,200501-021,Drinking Fountain - Leaf Type - With Bottle Refill Tap,Parks and City Greening,City of Melbourne,"Royal Park approximately 51m NW of Parkville House Inc, 32 Gatehouse Street, Parkville, 3052",4.0,2019-11-09,319685.56,5814906.65,2021-08-14,"-37.79542994425931, 144.95202812794676",-37.79542994425931,144.95202812794676,Good
1589230,Picnic Setting - Urban Design Style - Royal Park,Outdoor Furniture,Picnic Setting,201401-001,Picnic Setting - Urban Design Style,Parks and City Greening,City of Melbourne,"Royal Park approximately 45m NW of Parkville House Inc, 32 Gatehouse Street, Parkville, 3052",4.0,2019-11-09,319676.63,5814893.46,2021-08-14,"-37.795546989616135, 144.95192348121543",-37.795546989616135,144.95192348121543,Good
1589238,Seat - Five Sided Platform - Royal Park,Outdoor Furniture,Seat,201101-070,Seat - Platform Style,Parks and City Greening,City of Melbourne,"Royal Park approximately 78m NW of Parkville House Inc, 32 Gatehouse Street, Parkville, 3052",4.0,2019-11-09,319666.53,5814926.43,2021-08-14,"-37.79524802042715, 144.95181703718032",-37.79524802042715,144.95181703718032,Good
1589303,Seat - Wooden Bench,Outdoor Furniture,Seat,201101-060,Seat - Wooden Bench,Infrastructure and Assets,City of Melbourne,"Merchant Street between Bourke Street and Victoria Harbour Promenade approximately 7m NE of The Barber Club, 95 Merchant Street, Docklands, 3008",3.16,2021-04-30,318997.1,5812198.98,2021-08-14,"-37.81968279137252, 144.94353683886126",-37.81968279137252,144.94353683886126,Average
